wrapperType|kind|artistId|collectionId|trackId|artistName|collectionName|trackName|collectionCensoredName|trackCensoredName|collectionArtistName|artistViewUrl|collectionViewUrl|trackViewUrl|previewUrl|artworkUrl30|artworkUrl60|artworkUrl100|releaseDate|collectionExplicitness|trackExplicitness|discCount|discNumber|trackCount|trackNumber|trackTimeMillis|country|currency|primaryGenreName|isStreamable|collectionArtistId|collectionArtistViewUrl|collectionPrice|trackPrice
track|song|7420827|1440762051.0|1440762323|Ludovico Einaudi|Una Mattina|Ancora|Una Mattina|Ancora||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/ancora/1440762051?i=1440762323&uo=4|https://music.apple.com/us/album/ancora/1440762051?i=1440762323&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/8d/7e/37/8d7e3740-b9ea-66ff-07a8-05101721a1d8/mzaf_6293507248360351287.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/100x100bb.jpg|2004-01-01T12:00:00Z|notExplicit|notExplicit|1.0|1.0|13.0|13.0|729627.0|USA|USD|Classical|True|||11.99|-1.0
track|music-video|104922933||1535218481|Gautier Capuçon & Jérôme Ducros||Einaudi: Una mattina||Einaudi: Una mattina||https://music.apple.com/us/artist/gautier-capu%C3%A7on/104922933?uo=4||https://music.apple.com/us/music-video/einaudi-una-mattina/1535218481?uo=4|https://video-ssl.itunes.apple.com/itunes-assets/Video124/v4/75/db/6a/75db6a42-ba11-f290-271d-f5eac0c5acb8/mzvf_4130255507098215466.1920w.h264lc.U.p.m4v|https://is1-ssl.mzstatic.com/image/thumb/Video124/v4/ac/75/2f/ac752fbe-3f03-6021-8b9f-edea69904783/GBAYC2002990.sca1.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video124/v4/ac/75/2f/ac752fbe-3f03-6021-8b9f-edea69904783/GBAYC2002990.sca1.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video124/v4/ac/75/2f/ac752fbe-3f03-6021-8b9f-edea69904783/GBAYC2002990.sca1.jpg/100x100bb.jpg|2020-10-23T07:00:00Z|notExplicit|notExplicit|||||191657.0|USA|USD|Classical||||1.99|1.99
track|music-video|962009877||1513539451|Mari Samuelsen||Einaudi: Una Mattina (Arr. Badzura)||Einaudi: Una Mattina (Arr. Badzura)||https://music.apple.com/us/artist/mari-samuelsen/962009877?uo=4||https://music.apple.com/us/music-video/einaudi-una-mattina-arr-badzura/1513539451?uo=4|https://video-ssl.itunes.apple.com/itunes-assets/Video113/v4/b2/36/e3/b236e3d5-2c2d-6946-a846-74633ef643e7/mzvf_14870589975492841169.1920w.h264lc.U.p.m4v|https://is1-ssl.mzstatic.com/image/thumb/Video123/v4/e1/10/98/e1109875-3cde-322d-40e2-f62f50b26d53/20UMGIM22216.crop.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video123/v4/e1/10/98/e1109875-3cde-322d-40e2-f62f50b26d53/20UMGIM22216.crop.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video123/v4/e1/10/98/e1109875-3cde-322d-40e2-f62f50b26d53/20UMGIM22216.crop.jpg/100x100bb.jpg|2020-05-29T07:00:00Z|notExplicit|notExplicit|||||204137.0|USA|USD|Classical||||1.99|1.99
track|music-video|380787485||1564481859|Miloš Karadaglić||Einaudi: Full Moon (Arr. Lewin for Guitar)||Einaudi: Full Moon (Arr. Lewin for Guitar)||https://music.apple.com/us/artist/milo%C5%A1-karadagli%C4%87/380787485?uo=4||https://music.apple.com/us/music-video/einaudi-full-moon-arr-lewin-for-guitar/1564481859?uo=4|https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/3e/90/27/3e902744-0c1c-127a-7bd2-6ddf31eab2c8/mzvf_17364173188293599358.1920w.h264lc.U.p.m4v|https://is1-ssl.mzstatic.com/image/thumb/Video125/v4/05/3f/39/053f3959-bc49-a393-8b33-d58c2f2ef562/21UMGIM32785.crop.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video125/v4/05/3f/39/053f3959-bc49-a393-8b33-d58c2f2ef562/21UMGIM32785.crop.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video125/v4/05/3f/39/053f3959-bc49-a393-8b33-d58c2f2ef562/21UMGIM32785.crop.jpg/100x100bb.jpg|2021-04-29T07:00:00Z|notExplicit|notExplicit|||||224553.0|USA|USD|Classical||||1.99|1.99
track|music-video|5519614||1852022248|Lang Lang||Einaudi: Fly||Einaudi: Fly||https://music.apple.com/us/artist/lang-lang/5519614?uo=4||https://music.apple.com/us/music-video/einaudi-fly/1852022248?uo=4||https://is1-ssl.mzstatic.com/image/thumb/Video221/v4/2f/96/89/2f968985-c53d-4660-f9f5-c3efe1ae44a2/25UM1IM75075.crop.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video221/v4/2f/96/89/2f968985-c53d-4660-f9f5-c3efe1ae44a2/25UM1IM75075.crop.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video221/v4/2f/96/89/2f968985-c53d-4660-f9f5-c3efe1ae44a2/25UM1IM75075.crop.jpg/100x100bb.jpg|2025-11-21T08:00:00Z|notExplicit|notExplicit||||||USA|USD|Classical|||||
track|music-video|7420827|1589791548.0|1589791806|Ludovico Einaudi|Underwater (Video Edition)|Luminous|Underwater (Video Edition)|Luminous (Performance Video)||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/music-video/luminous-performance-video/1589791806?uo=4|https://music.apple.com/us/music-video/luminous-performance-video/1589791806?uo=4|https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/b0/9c/78/b09c7848-289f-4982-59d7-2e0c2ad3d328/mzvf_5174101655454738697.1920w.h264lc.U.p.m4v|https://is1-ssl.mzstatic.com/image/thumb/Video115/v4/80/60/aa/8060aa47-ad3e-18bd-c46a-93ef1cc9f6b8/21UM1IM23915.crop.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video115/v4/80/60/aa/8060aa47-ad3e-18bd-c46a-93ef1cc9f6b8/21UM1IM23915.crop.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video115/v4/80/60/aa/8060aa47-ad3e-18bd-c46a-93ef1cc9f6b8/21UM1IM23915.crop.jpg/100x100bb.jpg|2022-01-21T08:00:00Z|notExplicit|notExplicit|1.0|1.0|13.0|13.0|254207.0|USA|USD|Classical||||11.99|1.99
track|music-video|7420827|1512004517.0|1512005001|Ludovico Einaudi|12 Songs From Home|Nuvole Bianche|12 Songs From Home|Nuvole Bianche (From 12 Songs From Home)||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/music-video/nuvole-bianche-from-12-songs-from-home/1512005001?uo=4|https://music.apple.com/us/music-video/nuvole-bianche-from-12-songs-from-home/1512005001?uo=4|https://video-ssl.itunes.apple.com/itunes-assets/Video123/v4/1b/d5/de/1bd5de48-f9c0-aadb-c754-00aa2277c89a/mzvf_6923977538568830312.1920w.h264lc.U.p.m4v|https://is1-ssl.mzstatic.com/image/thumb/Video123/v4/f1/bb/72/f1bb72cb-1131-8a02-817a-dac94c0d35c5/20UMGIM35534.crop.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video123/v4/f1/bb/72/f1bb72cb-1131-8a02-817a-dac94c0d35c5/20UMGIM35534.crop.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video123/v4/f1/bb/72/f1bb72cb-1131-8a02-817a-dac94c0d35c5/20UMGIM35534.crop.jpg/100x100bb.jpg|2020-05-08T07:00:00Z|notExplicit|notExplicit|1.0|1.0|13.0|13.0|318760.0|USA|USD|Classical||||11.99|1.99
track|music-video|380787485||1563917548|Miloš Karadaglić||Einaudi: Full Moon (Arr. Lewin for Guitar)||Einaudi: Full Moon (Arr. Lewin for Guitar) [Track by Track]||https://music.apple.com/us/artist/milo%C5%A1-karadagli%C4%87/380787485?uo=4||https://music.apple.com/us/music-video/einaudi-full-moon-arr-lewin-for-guitar-track-by-track/1563917548?uo=4||https://is1-ssl.mzstatic.com/image/thumb/Video125/v4/67/c2/b0/67c2b075-20aa-8a50-dc27-78a1985f1fa3/21UMGIM24976.crop.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video125/v4/67/c2/b0/67c2b075-20aa-8a50-dc27-78a1985f1fa3/21UMGIM24976.crop.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video125/v4/67/c2/b0/67c2b075-20aa-8a50-dc27-78a1985f1fa3/21UMGIM24976.crop.jpg/100x100bb.jpg|2021-04-15T07:00:00Z|notExplicit|notExplicit||||||USA|USD|Classical|||||
track|music-video|7420827||1598300639|Ludovico Einaudi||Atoms||Atoms (Performance Video)||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4||https://music.apple.com/us/music-video/atoms-performance-video/1598300639?uo=4|https://video-ssl.itunes.apple.com/itunes-assets/Video116/v4/75/f1/f6/75f1f6d5-ab33-42a5-a242-a61dd369a5f6/mzvf_12100903291841324420.1920w.h264lc.U.p.m4v|https://is1-ssl.mzstatic.com/image/thumb/Video126/v4/4b/42/5c/4b425c54-aadf-dc30-9fc4-43b254b4d1bd/21UM1IM44283.crop.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video126/v4/4b/42/5c/4b425c54-aadf-dc30-9fc4-43b254b4d1bd/21UM1IM44283.crop.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video126/v4/4b/42/5c/4b425c54-aadf-dc30-9fc4-43b254b4d1bd/21UM1IM44283.crop.jpg/100x100bb.jpg|2021-12-03T08:00:00Z|notExplicit|notExplicit|||||206847.0|USA|USD|Classical||||1.99|1.99
track|music-video|7420827||1481487086|Ludovico Einaudi||Experience||Experience (Live from the Steve Jobs Theater, 2019)||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4||https://music.apple.com/us/music-video/experience-live-from-the-steve-jobs-theater-2019/1481487086?uo=4|https://video-ssl.itunes.apple.com/itunes-assets/Video125/v4/e7/d7/18/e7d7189b-2d73-81d0-1756-e5b290349202/mzvf_8674934242928598051.1920w.h264lc.U.p.m4v|https://is1-ssl.mzstatic.com/image/thumb/Video125/v4/ad/2b/71/ad2b71cb-698f-45bd-a30b-e0988b5a93ef/dj.ybjzftsy.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video125/v4/ad/2b/71/ad2b71cb-698f-45bd-a30b-e0988b5a93ef/dj.ybjzftsy.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Video125/v4/ad/2b/71/ad2b71cb-698f-45bd-a30b-e0988b5a93ef/dj.ybjzftsy.jpg/100x100bb.jpg|2019-10-03T07:00:00Z|notExplicit|notExplicit|||||302227.0|USA|USD|Classical||||1.99|1.99
